id,species,BI,primary,secondary,tertiary,quaternary,double bond,cyclo-ring,benzene ring,Temp,CH4,C2H4,C3H6,CO,H2,CO2,Fuel
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,750,0,0,0,8.66E-07,0,0,0.0025
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,780,0,0,0,3.94E-07,2.16E-05,0,0.002549154
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,810,0,0,0,6.56E-08,0,0,0.00255329
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,840,0,0,0,9.19E-07,0,0,0.002330123
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,870,0,5.04E-05,2.70E-05,1.31E-07,0,0,0.002154857
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,900,7.52E-05,0.000275666,0.000136343,6.76E-05,5.59E-05,0,0.001829026
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,930,0.000261126,0.000813549,0.000362847,0.000643045,0.000155738,1.23E-05,0.001158592
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,960,0.000484948,0.001237133,0.000417824,0.002032808,0.000495168,5.11E-05,0.00048902
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,990,0.000634162,0.001351433,0.000299074,0.00383399,0.000834597,0.000227644,0.000173459
17,PRF 50,0.28,3.40838,3.12216,0.46946,0.46946,0,0,0,1020,0.000603076,0.0010993,0.000153935,0.005066929,0.001114128,0.001499204,6.90E-05
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,750,0,0,0,0,0,0,0.0025
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,780,0,0,0,0,0,0,0.002402007
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,810,0,0,0,0,0,0,0.002356705
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,840,0,0,0,0,0,0,0.002372942
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,870,0,0,2.44E-05,0,0,0,0.002277934
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,900,8.33E-05,4.74E-05,0.000120949,0.000165354,6.91E-05,0,0.001767352
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,930,0.000285995,0.000184898,0.000327662,0.000801837,0.000195671,1.65E-05,0.001096161
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,960,0.000621728,0.000470648,0.000472801,0.002263123,0.000595,8.05E-05,0.000583386
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,990,0.00098233,0.00083372,0.000475,0.004207349,0.001118121,0.000230046,0.000256792
18,PRF 95,0.57,4.8317,1.2244,0.9439,0.9439,0,0,0,1020,0.001032068,0.000944659,0.000296875,0.005849738,0.001589329,0.000520157,7.46E-05
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,750,0,0,0,1.20E-05,0,0,0.002474424
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,780,0,0,0,1.28E-05,0,0,0.002574
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,810,0,0,0,1.22E-05,0,0,0.002451576
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,840,0,3.57E-06,5.35E-06,1.59E-05,0,0,0.002442197
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,870,1.88E-05,3.94E-05,3.09E-05,1.85E-05,0,7.22E-06,0.00227198
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,900,8.54E-05,0.000186606,0.000137273,0.000123798,6.42E-05,1.60E-05,0.001771408
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,930,0.000270371,0.000518349,0.000348903,0.000837944,0.000235585,3.78E-05,0.001064551
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,960,0.000547377,0.000883267,0.000454717,0.002370633,0.000485028,0.000108344,0.000515089
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,990,0.000912294,0.001314533,0.000469016,0.004614698,0.000859193,0.00026876,0.000254576
19,PRF 70,0.4,4.0211,2.3052,0.6737,0.6737,0,0,0,1020,0.00099523,0.001248184,0.000228789,0.007310531,0.001538233,0.00074077,7.53E-05
20,PRF 84,0.49,4.4687,1.7084,0.8229,0.8229,0,0,0,750,0,0,0,1.75E-05,0,0,0.002513683
20,PRF 84,0.49,4.4687,1.7084,0.8229,0.8229,0,0,0,780,0,0,0,1.83E-05,0,0,0.002542491
